Free Agents  Season  CBS Average Projections Scoring Stats
Player,Opp,Bye,FG,FGB,FL,MFG,MXP,Pa2P,PaInt,PaTD,PaYd,Re2P,ReTD,ReYd,Recpt,Ru2P,RuTD,RuYd,XP,XPB,FPTS,
"Marvin Jones WR | CIN ",@BAL,4,0,0,1.0,0,0,0,0,0,0,0,5.0,606.5,42.0,0,0,10.5,0,0,122.00
Carlos Hyde RB | SF ,@DAL,8,0,0,1.0,0,0,0,0,0,0,0,0.5,107.0,14.5,0,6.0,737.5,0,0,121.50
Robert Woods WR | BUF,@CHI,9,0,0,0.5,0,0,0,0,0,0,0,3.5,605.0,49.5,0,0,11.0,0,0,121.50
Lance Moore WR | PIT,CLE,12,0,0,0,0,0,0,0,0,0,0,2.5,619.0,49.5,0,0,0,0,0,117.50
Odell Beckham WR | NYG ,@DET,8,0,0,0.5,0,0,0,0,0,0,0,4.0,599.0,40.0,0,0,31.0,0,0,116.00
Nate Washington WR | TEN ,@KC,9,0,0,0.5,0,0,0,0,0,0,0,3.5,603.5,43.5,0,0,0,0,0,115.50
Malcom Floyd WR | SD ,@ARI,10,0,0,0.5,0,0,0,0,0,0,0,4.0,589.0,41.5,0,0,0,0,0,114.50
Jeremy Kerley WR | NYJ,OAK,11,0,0,1.0,0,0,0,0,0,0,0,3.0,601.0,45.5,0,0,22.0,0,0,114.50
Richard Rodgers TE | GB,@SEA,9,0,0,0,0,0,0,0,0,0,0,5.0,519.5,39.5,0,0,0,0,0,113.50
Scott Chandler TE | BUF ,@CHI,9,0,0,1.0,0,0,0,0,0,0,0,4.0,538.5,45.5,0,0,0,0,0,113.50
"Miles Austin WR | CLE ",@PIT,4,0,0,0.5,0,0,0,0,0,0,0,3.0,578.5,46.5,0,0,0,0,0,113.50
Garrett Graham TE | HOU ,WAS,10,0,0,0,0,0,0,0,0,0,0,4.0,517.0,45.0,0,0,0,0,0,113.00
Tavon Austin WR | STL ,MIN,4,0,0,1.5,0,0,0,0,0,0,0,2.0,586.5,41.5,0,1.0,139.5,0,0,112.50
Marcedes Lewis TE | JAC,@PHI,11,0,0,0,0,0,0,0,0,0,0,5.0,490.0,40.5,0,0,0,0,0,111.50
"Jeremy Hill RB | CIN ",@BAL,4,0,0,0.5,0,0,0,0,0,0,0,0.5,75.5,10.5,0,5.5,706.5,0,0,111.50
Donnie Avery WR | KC,TEN,6,0,0,0,0,0,0,0,0,0,0,2.5,603.5,44.5,0,0,3.5,0,0,111.50
Jared Cook TE | STL ,MIN,4,0,0,1.0,0,0,0,0,0,0,0,4.0,526.5,44.5,0,0,0,0,0,110.50
Mike Williams WR | BUF ,@CHI,9,0,0,0.5,0,0,0,0,0,0,0,3.0,583.5,43.0,0,0,0,0,0,110.00
John Brown WR | ARI ,SD,4,0,0,0,0,0,0,0,0,0,0,3.0,608.5,37.5,0,0,20.5,0,0,109.50
Mychal Rivera TE | OAK,@NYJ,5,0,0,0,0,0,0,0,0,0,0,4.0,493.5,44.0,0,0,0,0,0,109.00
Christine Michael RB | SEA ,GB,4,0,0,1.0,0,0,0,0,0,0,0,0.5,93.0,11.0,0,4.5,723.0,0,0,108.00
Mark Ingram RB | NO ,@ATL,6,0,0,1.0,0,0,0,0,0,0,0,0,77.5,11.5,0,5.5,695.0,0,0,107.50
Andre Roberts WR | WAS,@HOU,10,0,0,0.5,0,0,0,0,0,0,0,2.5,533.0,47.0,0,0,0,0,0,107.00
Jace Amaro TE | NYJ ,OAK,11,0,0,0,0,0,0,0,0,0,0,4.0,538.0,37.0,0,0,0,0,0,107.00
LeGarrette Blount RB | PIT ,CLE,12,0,0,1.5,0,0,0,0,0,0,0,0,110.0,14.5,0,5.5,645.0,0,0,105.50
Darren McFadden RB | OAK ,@NYJ,5,0,0,2.0,0,0,0,0,0,0,0,1.0,195.0,26.5,0,3.5,502.0,0,0,104.50
Andre Holmes WR | OAK,@NYJ,5,0,0,0,0,0,0,0,0,0,0,3.5,542.5,36.5,0,0,0,0,0,103.50
Tyler Eifert TE | CIN ,@BAL,4,0,0,0,0,0,0,0,0,0,0,3.5,502.5,37.5,0,0,0,0,0,101.50
Austin Seferian-Jenkins TE | TB ,CAR,7,0,0,0,0,0,0,0,0,0,0,4.5,459.0,37.0,0,0,0,0,0,101.00
Shonn Greene RB | TEN ,@KC,9,0,0,1.0,0,0,0,0,0,0,0,0,81.5,11.0,0,5.5,630.5,0,0,101.00
Jerome Simpson WR | MIN ,@STL,10,0,0,1.0,0,0,0,0,0,0,0,2.5,569.5,38.5,0,0,0,0,0,100.50
Coby Fleener TE | IND ,@DEN,10,0,0,0,0,0,0,0,0,0,0,3.5,480.5,38.5,0,0,0,0,0,100.50
Blake Bortles QB | JAC ,@PHI,11,0,0,2.0,0,0,0,6.5,9.0,1506.5,0,0,0,0,0,1.5,73.5,0,0,100.00
